DOUBLE_FLEXION_MASC,DOUBLE_FLEXION_FEM,LECTURE_SILENCIEUSE,NUITDEBOUTISTE ,DEBINARISANTE,VERSION_LES_MOTS_CLÉS,Contraction_(néologismes),LECTURES_SILENCIEUSES_V1,Conversion automatique mas V1,Conversion automatique fem V1,Conversion automatique inclusive V1
policier,policière,policier·ère,policier⋅ère,,,,policier·ères,,,
polisseur,polisseuse,polisseur·euse,polisseur⋅polisseuse,,,,polisseur·euses,,,
pompier,pompière,pompier·ère,pompier⋅ère,,,,pompier·ères,,,
porte-parole,porte-parole,porte-parole,porte-parole,,,,porte-paroles,,,
poseur,poseuse,poseur·euse,poseur⋅se,,,,poseur·euses,,,
postulant,postulante,postulant·e,postulant⋅e,,,,postulant·es,,,
potier,potière,potier·ère,potier⋅ère,,,,potier·ères,,,
pourvoyeur,pourvoyeuse,pourvoyeur·euse,pourvoyeur⋅se,,,,pourvoyeur·euses,,,
praticien,praticienne,praticien·ne,praticien⋅ne,,,,praticien·nes,,,
précurseur,précurseure,précurseur·e,précurseur⋅se,,,,précurseur·es,,,
prédécesseur,prédécesseure,prédécesseur·e,prédécesseur⋅e,,,,prédécesseur·es,,,
préfet,préfète,préfet·ète,préfet⋅ète,,,,préfet·ètes,,,
premier ministre,première ministre,premier·ère ministre,premier⋅ère ministre,,,,premier·ère ministres,,,
préposé,préposée,préposé·e,préposé⋅e,,,,préposé·es,,,
présentateur,présentatrice,présentateur·trice,présentateur⋅trice,,,,présentateur·trices,,,
président,présidente,président·e,président⋅e,,,,président·es,,,
principal,principale,principal·e,principal⋅e,,,,principal·es,,,
procureur,procureure,procureur·e,procureur⋅e,procureur·e,,,procureur·es,,,
producteur,productrice,producteur·trice,producteur⋅trice,,,,producteur·trices,,,
professeur,professeure,professeur·e,professeur⋅e,professeur·e,,,professeur·es,,,
professeur-chercheur,professeure-chercheuse,professeur·e-chercheur·euse,professeur⋅e-chercheur⋅se,professeur·e-chercheur·e,,,professeur·es-chercheur·euses,,,
programmateur,programmatrice,programmateur·trice,programmateur⋅trice,,,,programmateur·trices,,,
programmeur,programmeuse,programmeur·euse,programmeur⋅se,,,,programmeur·euses,,,
promoteur,promotrice,promoteur·trice,promoteur⋅trice,,,,promoteur·trices,,,
prospecteur,prospectrice,prospecteur·trice,prospecteur⋅trice,,,,prospecteur·trices,,,
puériculteur,puéricultrice,puériculteur·trice,puériculteur⋅trice,,,,puériculteur·trices,,,
radiologiste,radiologiste,radiologiste,radiologiste,,,,radiologistes,,,
radiologue,radiologue,radiologue,radiologue,,,,radiologues,,,
rapporteur,rapporteuse,rapporteur·euse,rapporteur⋅se,,,,rapporteur·euses,,,
réalisateur,réalisatrice,réalisateur·trice,réalisateur⋅trice,,,,réalisateur·trices,,,
recenseur,recenseuse,recenseur·euse,recenseur⋅se,,,,recenseur·euses,,,
réceptionniste,réceptionniste,réceptionniste,réceptionniste,,,,réceptionnistes,,,
recruteur,recruteuse,recruteur·euse,recruteur⋅se,,,,recruteur·euses,,,
recteur,rectrice,recteur·trice,recteur⋅trice,,,,recteur·trices,,,
rédacteur,rédactrice,rédacteur·trice,redacteur⋅trice,,,,rédacteur·trices,,,
régisseur,régisseuse,régisseur·euse,régisseur⋅se,,,,régisseur·euses,,,
registraire,registraire,registraire,registraire,,,,registraires,,,
rembourreur,rembourreuse,rembourreur·euse,rembourreur⋅se,,,,rembourreur·euses,,,
remplaçant,remplaçante,remplaçant·e,remplaçant⋅e,,,,remplaçant·es,,,
réparateur,réparatrice,réparateur·trice,réparateur⋅trice,,,,réparateur·trices,,,
répartiteur,répartitrice,répartiteur·trice,répartiteur⋅trice,,,,répartiteur·trices,,,
repasseur,repasseuse,repasseur·euse,repasseur⋅se,,,,repasseur·euses,,,
répétiteur,répétitrice,répétiteur·trice,répétiteur⋅trice,,,,répétiteur·trices,,,
répondant,répondante,répondant·e,répondant⋅e,,,,répondant·es,,,
reporteur,reporteuse,reporteur·euse,reporteur⋅se,,,,reporteur·euses,,,
représentant,représentante,représentant·e,représentant⋅e,,,,représentant·es,,,
requérant,requérante,requérant·e,requérant⋅e,,,,requérant·es,,,
responsable,responsable,responsable,responsable,,,,responsables,,,
restaurateur,restauratrice,restaurateur·trice,restaurateur⋅trice,,,,restaurateur·trices,,,
retraité,retraitée,retraité·e,retraité⋅e,,,,retraité·es,,,
réviseur,réviseure,réviseur·e,réviseur⋅e,,,,réviseur·es,,,
sapeur-pompier,sapeuse-pompière,sapeur·se-pompier·ère,sapeur⋅se-pompier⋅ère,,,,sapeur·ses-pompier·ères,,,
sauveteur,sauveteuse,sauveteur·euse,sauveteur⋅se,,,,sauveteur·euses,,,
scrutateur,scrutatrice,scrutateur·trice,scrutateur⋅trice,,,,scrutateur·trices,,,
sculpteur,sculptrice,sculpteur·trice,sculpteur⋅trice,sculpteur·e,,,sculpteur·trices,,,
secrétaire,secrétaire,secrétaire,secrétaire,,,,secrétaires,,,
secrétaire-trésorier,secrétaire-trésorière,secrétaire-trésorier·ère,secrétaire-trésorier⋅ère,,,,secrétaires-trésorier·ères,,,
sénateur,sénatrice,sénateur·trice,sénateur⋅trice,,,,sénateur·trices,,,
sergent,sergente,sergent·e,sergent⋅e,,,,sergent·es,,,
serrurier,serrurière,serrurier·ère,serrurier⋅ère,,,,serrurier·ères,,,
serveur,serveuse,serveur·euse,serveur⋅se,,,,serveur·euses,,,
soigneur,soigneuse,soigneur·euse,soigneur⋅se,,,,soigneur·euses,,,
solliciteur,solliciteuse,solliciteur·euse,solliciteur⋅se,,,,solliciteur·euses,,,
soudeur,soudeuse,soudeur·euse,soudeur⋅se,,,,soudeur·euses,,,
souffleur,souffleuse,souffleur·euse,souffleur⋅se,,,,souffleur·euses,,,
sous-ministre,sous-ministre,sous-ministre,sous-ministre,,,,sous-ministres,,,
sous-traitant,sous-traitante,sous-traitant·e,sous-traitant⋅e,,,,sous-traitant·es,,,
stagiaire,stagiaire,stagiaire,stagiaire,,,,stagiaires,,,
statisticien,statisticienne,statisticien·ne,statisticien⋅ne,,,,statisticien·nes,,,
substitut,substitut,substitut,substitut,,,,substituts,,,
successeur,successeuse,successeur·euse,success·eur·eure,successeur·e,,,successeur·euses,,,
supérieur,supérieure,supérieur·e,supérieur⋅e,,,,supérieur·es,,,
superviseur,superviseuse,superviseur·euse,,,,,superviseur·euses,,,
surintendant,surintendante,surintendant·e,surintendant⋅e,,,,surintendant·es,,,
surveillant,surveillante,surveillant·e,surveillant⋅e,,,,surveillant·es,,,
syndic,syndique,syndic·que,syndic⋅que,,,,syndic·ques,,,
tailleur,tailleuse,tailleur·euse,tailleu⋅r⋅se,,,,tailleur·euses,,,
tapissier,tapissière,tapissier·ère,tapissier⋅ère,,,,tapissier·ères,,,
technicien,technicienne,technicien·ne,technicien⋅ne,,,,technicien·nes,,,
téléphoniste,téléphoniste,téléphoniste,téléphoniste,,,,téléphonistes,,,
teneur de livres,teneuse de livres,teneur·euse de livres,teneu⋅r⋅se de livres,,,,teneur·euses de livres,,,
terminologue,terminologue,terminologue,terminologue,,,,terminologues,,,
tisserand,tisserande,tisserand·e,tisserand⋅e,,,,tisserand·es,,,
traducteur,traductrice,traducteur·trice,traduct⋅eur⋅rice,,,,traducteur·trices,,,
traiteur,traiteuse,traiteur·euse,traiteu⋅r⋅se,,,,traiteur·euses,,,
travailleur,travailleuse,travailleur·euse,travailleu⋅r⋅se,,,,travailleur·euses,,,
travailleur social,travailleuse sociale,travailleur·euse social,travailleu⋅r⋅se sociale,,,,travailleur·euses sociales,,,
trésorier,trésorière,trésorier·ère,trésorier⋅ère,,,,trésorier·ères,,,
trieur,trieuse,trieur·euse,trieu⋅r⋅se,,,,trieur·euses,,,
tuteur,tutrice,tuteur·trice,tut⋅eur⋅rice,,,,tuteur·trices,,,
tuyauteur,tuyauteuse,tuyauteur·euse,tuyauteu⋅r⋅se,,,,tuyauteur·euses,,,
typographe,typographe,typographe,typographe,,,,typographes,,,
urgentologue,urgentologue,urgentologue,urgentologue,,,,urgentologues,,,
usager,usagère,usager·ère,usager⋅ère,,,,usager·ères,,,
utilisateur,utilisatrice,utilisateur·trice,utilisateur⋅trice,,,,utilisateur·trices,,,
vendeur,vendeuse,vendeur·euse,veudeur⋅euse,,,,vendeur·euses,,,
vérificateur,vérificatrice,vérificateur·trice,vérificateur⋅trice,,,,vérificateur⋅trices,,,
vétérinaire,vétérinaire,vétérinaire,vétérinaire,,,,vétérinaires,,,
vice-président,vice-présidente,vice-président·e,vice-président⋅e,,,,vice-président⋅es,,,
vitrier,vitrière,vitrier·ère,vitrier⋅ère,,,,vitrier⋅ères,,,
voyagiste,voyagiste,voyagiste,voyagiste,,,,voyagistes,,,
voyant,voyante,voyant·e,voyant⋅e,,,,voyant⋅es,,,
zoologiste,zoologiste,zoologiste,zoologiste,,,,zoologistes,,,
client,cliente,client·e,client·e,,,,client·es,,,
homme,femme,homme·femme,homme·femme,,,,hommes·femmes,,,
participant,participante,participant·e,participant·e,,,,participant·es,,,
