NOTES:	Le lexique est un fusionment de LEFFF, DIcollecte, Wiktionnaire, fusioner sur le meme mot au masculin singulier											
	Quand il y a plusieurs valuers pour un mot, il y  a une virgule pour les séparer											
	Wiktionnaire n'a pas de pluriel, à faire plus tard.											
	Pour rajouter un mot: met le à la fin du fichier.											
	"Pour suggérer une modification, rajoute le dans les colonnes ""Notes"""											
	Vous n'avez pas le droit de toucher les cellules qui étaient créer pas les lexques sources											
												
Sources	Source Count	Masc Singulier	Masc Pluriel	Fem Singulier	Fem Pluriel	Incl sing V1	Incl pl V1	Notes Général	Notes Masc Singulier	Notes Masc Pluriel	Notes Fem Singulier	Notes Fem Pluriel
leff,dicollecte,wiki	3	afrikaner	afrikaners	afrikaner	afrikaners							
leff,dicollecte,wiki	3	agitateur	agitateurs	agitatrice	agitatrices	agitateur·trice	agitateur·trices					
leff,dicollecte,wiki	3	agnostique	agnostiques	agnostique	agnostiques							
leff,dicollecte,wiki	3	agriculteur	agriculteurs	agricultrice	agricultrices	agriculteur·trice	agriculteur·trices					
leff,dicollecte,wiki	3	agronome	agronomes	agronome	agronomes							
leff,dicollecte,wiki	3	aide	aides	aide	aides							
leff,dicollecte,wiki	3	aigle	aigles	aigle	aigles							
leff,dicollecte,wiki	3	aiglon	aiglons	aiglonne	aiglonnes	aiglon·ne	aiglon·nes					
leff,dicollecte,wiki	3	akkadien	akkadiens	akkadienne	akkadiennes	akkadien·ne	akkadien·nes					
leff,dicollecte,wiki	3	alarmiste	alarmistes	alarmiste	alarmistes							
leff,dicollecte,wiki	3	albanais	albanais	albanaise	albanaises	albanais·e	albanais·es					
leff,dicollecte,wiki	3	alcoolique	alcooliques	alcoolique	alcooliques							
leff,dicollecte,wiki	3	alcoolo	alcoolos	alcoolo	alcoolos							
leff,dicollecte,wiki	3	algébriste	algébristes	algébriste	algébristes							
leff,dicollecte,wiki	3	algérien	algériens	algérienne	algériennes	algérien·ne	algérien·nes					
leff,dicollecte,wiki	3	aliénataire	aliénataires	aliénataire	aliénataires							
leff,dicollecte,wiki	3	aliéniste	aliénistes	aliéniste	aliénistes							
leff,dicollecte,wiki	3	allemand	allemands	allemande	allemandes	allemand·e	allemand·es					
leff,dicollecte,wiki	3	allergologiste	allergologistes	allergologiste	allergologistes							
leff,dicollecte,wiki	3	allergologue	allergologues	allergologue	allergologues							
leff,dicollecte,wiki	3	allocataire	allocataires	allocataire	allocataires							
leff,dicollecte,wiki	3	allochtone	allochtones	allochtone	allochtones							
leff,dicollecte,wiki	3	allocutaire	allocutaires	allocutaire	allocutaires							
leff,dicollecte,wiki	3	allumeur	allumeurs	allumeuse	allumeuses	allumeur·euse	allumeur·euses					
leff,dicollecte,wiki	3	alphabète	alphabètes	alphabète	alphabètes							
leff,dicollecte,wiki	3	alpiniste	alpinistes	alpiniste	alpinistes							
leff,dicollecte,wiki	3	alsacien	alsaciens	alsacienne	alsaciennes	alsacien·ne	alsacien·nes					
leff,dicollecte,wiki	3	altermondialiste	altermondialistes	altermondialiste	altermondialistes							
leff,dicollecte,wiki	3	altiste	altistes	altiste	altistes							
leff,dicollecte,wiki	3	alvéole	alvéoles	alvéole	alvéoles							
leff,dicollecte,wiki	3	amant	amants	amante	amantes	amant·e	amant·es					
leff,dicollecte,wiki	3	amateur	amateurs	amateur,amatrice	amatrices,amateurs	amateur·trice	amateur·trices					
leff,dicollecte,wiki	3	ambassadeur	ambassadeurs	ambassadrice	ambassadrices	ambassadeur·drice	ambassadeur·drices					
leff,dicollecte,wiki	3	amblyope	amblyopes	amblyope	amblyopes							
leff,dicollecte,wiki	3	ambulancier	ambulanciers	ambulancière	ambulancières	ambulancièr·e	ambulancièr·es					
leff,dicollecte,wiki	3	américain	américains	américaine	américaines	américain·e	américain·es					
leff,dicollecte,wiki	3	américaniste	américanistes	américaniste	américanistes							
leff,dicollecte,wiki	3	américanophile	américanophiles	américanophile	américanophiles							
leff,dicollecte,wiki	3	amérindien	amérindiens	amérindienne	amérindiennes	amérindien·ne	amérindien·nes					
leff,dicollecte,wiki	3	ami	amis	amie	amies	ami·e	ami·es					
leff,dicollecte,wiki	3	amoureux	amoureux	amoureuse	amoureuses	amoureux·euse	amoureux·euses					
leff,dicollecte,wiki	3	amuseur	amuseurs	amuseuse	amuseuses	amuseur·euse	amuseur·euses					
leff,dicollecte,wiki	3	analphabète	analphabètes	analphabète	analphabètes							
leff,dicollecte,wiki	3	analyste	analystes	analyste	analystes							
leff,dicollecte,wiki	3	anarchiste	anarchistes	anarchiste	anarchistes							
leff,dicollecte,wiki	3	anarcho-syndicaliste	anarcho-syndicalistes	anarcho-syndicaliste	anarcho-syndicalistes							
leff,dicollecte,wiki	3	ancêtre	ancêtres	ancêtre	ancêtres							
leff,dicollecte,wiki	3	ancien	anciens	ancienne	anciennes	ancien·ne	ancien·nes					
leff,dicollecte,wiki	3	andin	andins	andine	andines	andin·e	andin·es					
leff,dicollecte,wiki	3	andrologue	andrologues	andrologue	andrologues							
leff,dicollecte,wiki	3	âne	ânes	ânesse	ânesses	âne·sse	zététicien·nes					
leff,dicollecte,wiki	3	anémique	anémiques	anémique	anémiques							
leff,dicollecte,wiki	3	anesthésiologiste	anesthésiologistes	anesthésiologiste	anesthésiologistes							
leff,dicollecte,wiki	3	anesthésiste	anesthésistes	anesthésiste	anesthésistes							
leff,dicollecte,wiki	3	angevin	angevins	angevine	angevines	angevin·e	angevin·es					
leff,dicollecte,wiki	3	angliciste	anglicistes	angliciste	anglicistes							
leff,dicollecte,wiki	3	anglomane	anglomanes	anglomane	anglomanes							
leff,dicollecte,wiki	3	anglophile	anglophiles	anglophile	anglophiles							
leff,dicollecte,wiki	3	angolais	angolais	angolaise	angolaises	angolais·e	angolais·es					
leff,dicollecte,wiki	3	ânier	âniers	ânière	ânières	ânier·ère	ânier·ères					
leff,dicollecte,wiki	3	animiste	animistes	animiste	animistes							
leff,dicollecte,wiki	3	annamite	annamites	annamite	annamites							
leff,dicollecte,wiki	3	annonceur	annonceurs	annonceuse	annonceuses	annonceur·euse	annonceur·euses					
leff,dicollecte,wiki	3	annoncier	annonciers	annoncière	annoncières	annoncièr·e	annoncièr·es					
leff,dicollecte,wiki	3	annotateur	annotateurs	annotatrice	annotatrices	annotateur·trice	annotateur·trices					
leff,dicollecte,wiki	3	anonyme	anonymes	anonyme	anonymes							
leff,dicollecte,wiki	3	anorexique	anorexiques	anorexique	anorexiques							
leff,dicollecte,wiki	3	anthropoïde	anthropoïdes	anthropoïde	anthropoïdes							
leff,dicollecte,wiki	3	anthropologiste	anthropologistes	anthropologiste	anthropologistes							
leff,dicollecte,wiki	3	anthropologue	anthropologues	anthropologue	anthropologues							
leff,dicollecte,wiki	3	anticolonialiste	anticolonialistes	anticolonialiste	anticolonialistes							
leff,dicollecte,wiki	3	anticommuniste	anticommunistes	anticommuniste	anticommunistes							
leff,dicollecte,wiki	3	antifasciste	antifascistes	antifasciste	antifascistes							
leff,dicollecte,wiki	3	antimilitariste	antimilitaristes	antimilitariste	antimilitaristes							
leff,dicollecte,wiki	3	antique	antiques	antique	antiques							
leff,dicollecte,wiki	3	antiraciste	antiracistes	antiraciste	antiracistes							
leff,dicollecte,wiki	3	antisémite	antisémites	antisémite	antisémites							
leff,dicollecte,wiki	3	apache	apaches	apache	apaches							
leff,dicollecte,wiki	3	apanagiste	apanagistes	apanagiste	apanagistes							
leff,dicollecte,wiki	3	apatride	apatrides	apatride	apatrides							
leff,dicollecte,wiki	3	aphasique	aphasiques	aphasique	aphasiques							
leff,dicollecte,wiki	3	apprenti	apprentis	apprentie	apprenties	apprenti·e	apprenti·es					
leff,dicollecte,wiki	3	apprêteur	apprêteurs	apprêteuse	apprêteuses	apprêteur·euse	apprêteur·euses					
leff,dicollecte,wiki	3	apprivoiseur	apprivoiseurs	apprivoiseuse	apprivoiseuses	apprivoiseur·euse	apprivoiseur·euses					
leff,dicollecte,wiki	3	approbateur	approbateurs	approbatrice,approbateuse	approbatrices	approbateur·trice	approbateur·trices					
leff,dicollecte,wiki	3	approvisionneur	approvisionneurs	approvisionneuse	approvisionneuses	approvisionneur·euse	approvisionneur·euses					
leff,dicollecte,wiki	3	après-guerre	après-guerres	après-guerre	après-guerres							
leff,dicollecte,wiki	3	aquarelliste	aquarellistes	aquarelliste	aquarellistes							
leff,dicollecte,wiki	3	arabe	arabes	arabe	arabes							
leff,dicollecte,wiki	3	arabophone	arabophones	arabophone	arabophones							
leff,dicollecte,wiki	3	araméen	araméens	araméenne,Araméenne	araméennes	araméen·ne	araméen·nes					
leff,dicollecte,wiki	3	arbalétrier	arbalétriers	arbalétrière	arbalétrières	arbalétrièr·e	arbalétrièr·es					
leff,dicollecte,wiki	3	arbitragiste	arbitragistes	arbitragiste	arbitragistes							
leff,dicollecte,wiki	3	arbitre	arbitres	arbitre	arbitres							
leff,dicollecte,wiki	3	arboriculteur	arboriculteurs	arboriculteuse,arboricultrice	arboricultrices	arboriculteur·trice	arboriculteur·trices					
leff,dicollecte,wiki	3	archéologue	archéologues	archéologue	archéologues							
leff,dicollecte,wiki	3	archer	archers	archère	archères	archèr·e	archèr·es					
leff,dicollecte,wiki	3	architecte	architectes	architecte	architectes							
leff,dicollecte,wiki	3	archiviste	archivistes	archiviste	archivistes							
leff,dicollecte,wiki	3	ardéchois	ardéchois	ardéchoise	ardéchoises	ardéchois·e	ardéchois·es					
leff,dicollecte,wiki	3	argentin	argentins	argentine	argentines	argentin·e	argentin·es					
leff,dicollecte,wiki	3	argonaute	argonautes	argonaute	argonautes							
leff,dicollecte,wiki	3	argotiste	argotistes	argotiste	argotistes							
leff,dicollecte,wiki	3	aristo	aristos	aristo	aristos							
leff,dicollecte,wiki	3	aristocrate	aristocrates	aristocrate	aristocrates							
leff,dicollecte,wiki	3	arménien	arméniens	arménienne	arméniennes	arménien·ne	arménien·nes					
leff,dicollecte,wiki	3	arracheur	arracheurs	arracheuse	arracheuses	arracheur·euse	arracheur·euses					
